order_number,customer_name,product_name,product_category,price,order_date
1,Lucien Caplan,"New Barbarians, The (I nuovi barbari)",Drama,14902,21/07/2020
2,Abbi Ravens,Towelhead (a.k.a. Nothing is Private),Drama,16121,27/04/2022
3,Christine Hain,Head On,Drama,8298,08/09/2021
4,Kathryne Mouse,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",Comedy,10295,10/12/2021
5,Andria Mordanti,BloodRayne,Comedy,17035,11/11/2021
6,Birch Manson,Boys on the Side,Drama,3700,09/11/2022
7,Robinia Colthard,Chouga (Shuga),Drama,10579,23/07/2020
8,Magdalena Amsden,"Sapphires, The",Comedy,9025,17/03/2022
9,Mathe Struijs,House,Comedy,9270,05/11/2021
10,Kip Libbe,American Dreams in China,Documentary,17917,16/01/2022
11,Nelie Pexton,Frankenstein Conquers the World,Sci-Fi,11284,08/07/2023
12,Noe Trench,Broadcast News,Sci-Fi,2244,21/01/2021
13,Chic Comber,Star Wars Uncut: Director's Cut,Sci-Fi,12653,27/09/2020
14,Ceil Tharme,The Losers,Documentary,7550,10/05/2022
15,Maggi Nicklen,"Stars Fell on Henrietta, The",Drama,13389,30/06/2021
16,Leah Coston,"Battle of amfAR, The",Drama,7611,01/01/2021
17,Arielle Egentan,Doomsday Prophecy,Drama,1728,02/09/2022
18,Virginia Pledge,Human Traffic,Comedy,2148,04/05/2021
19,Kari Akess,End of the Line,Horror,10435,06/09/2020
20,Arin Keld,Friday the 13th,Horror,2060,14/12/2020
21,Valdemar Scotchmer,Fruitcake,Horror,9586,30/12/2022
22,Hewitt Philipard,Waterloo,Documentary,16636,30/01/2023
23,Fidelio Chart,Our Little Differences (Die feinen Unterschiede),Documentary,16337,12/05/2022
24,Rourke MacRannell,My Bollywood Bride,Horror,7067,02/01/2022
25,Tani Watkins,My Forbidden Past,Horror,4853,17/01/2023
26,Rutter Knoles,Any Wednesday (Bachelor Girl Apartment),Comedy,3982,27/08/2022
27,Basilius Guise,Cousin Angelica (La prima Angélica),Drama,11156,11/04/2020
28,Manfred O'Lochan,"Unfaithful, The",Drama,7431,14/09/2022
29,Annabela Hammerich,"Dragon Missile, The (Fei long zhan)",Drama,12758,09/03/2022
30,Margit Cabral,"Magnificent Seven Ride!, The",Drama,4025,19/12/2020
31,Joleen Kitchenside,"Jericho Mile, The",Documentary,16312,04/10/2020
32,Ailbert Iremonger,Kilometre Zero (Kilomètre zéro),Documentary,2151,08/08/2023
33,Gertruda Crilley,Around the World in 80 Days,Horror,16747,20/12/2020
34,Kayley Bellhouse,"Trans-Atlantic Tunnel (Tunnel, The)",Horror,3366,30/09/2021
35,Ola Esler,Evidence of Blood,Documentary,8758,16/08/2020
36,Emmit O'Tierney,"Song of Sparrows, The (Avaze gonjeshk-ha)",Documentary,11170,11/01/2022
37,Adolph Bark,Kanak Attack,Drama,17885,30/12/2021
38,Cleopatra MacKimmie,"Monster in Paris, A (Un monstre à Paris)",Sci-Fi,10290,19/09/2020
39,Emlynn Stambridge,Cry Baby Lane,Drama|Horror,8312,04/02/2020
40,Georgeanne Howkins,Fingersmith,Horror,13961,13/04/2021
41,Kore Ivanovic,Strange Circus (Kimyô na sâkasu),Horror,13257,11/12/2020
42,Stevie Dunsford,Army of One (Joshua Tree),Documentary,10376,11/04/2020
43,Cully Shearmur,"Monster That Challenged the World, The",Documentary,15694,11/11/2022
44,Aurora Odeson,Tabu,Comedy,8019,01/10/2020
45,Matteo Soper,7 Seconds,Comedy,16958,16/05/2022
46,Shannon Farnan,IMAX: Coral Reef Adventure,Comedy,6618,26/01/2023
47,Myrlene Kinahan,"Possession of David O'Reilly, The ",Horror,13876,12/07/2022
48,Freda Cowley,"Midnight (Primeiro Dia, O)",Drama,1071,10/12/2021
49,Melitta Grigsby,Listen to Britain,Horror,6130,08/10/2020
50,Licha Lambricht,"Bridge on the River Kwai, The",Horror,9315,17/11/2020
